factor,ICIR
f_g_ma5_div_pv_wad,-0.007774720987847109
f_g_ma5_x_v_skew_ma5,-0.03955481229741108
f_g_ma5_div_v_skew_ma5,-0.020287952057661762
f_g_ma5_x_vol_wsr,-0.05334474253053237
f_g_ma5_div_vol_wsr,-0.042972362736059436
f_g_ma5_x_wad,0.015576038991367369
f_g_ma5_div_wad,0.04754430540925991
f_g_ma5_x_wad_valid,-0.0018295102143247564
f_g_ma5_div_wad_valid,0.02080178404532161
f_g_ma5_x_f_oi_hurst_20,-0.05552077583741615
f_g_ma5_div_f_oi_hurst_20,-0.03877830899810389
f_g_ma5_x_f_oi_hurst_20_ts_z,-0.047174076073185446
f_g_ma5_div_f_oi_hurst_20_ts_z,0.012508807894132052
f_g_mfi_index_x_mfi_index,0.07553855393912247
f_g_mfi_index_div_mfi_index,0.02983180207395801
f_g_mfi_index_x_oi_chg,0.05131150673770046
f_g_mfi_index_div_oi_chg,0.010291953786020833
f_g_mfi_index_x_pv_oi_diff,0.05130672856181109
f_g_mfi_index_div_pv_oi_diff,0.011684532299653032
f_g_mfi_index_x_pv_oi_efficiency,-0.030001275739364116
f_g_mfi_index_div_pv_oi_efficiency,0.022092224777924035
f_g_mfi_index_x_pv_oi_momentum,0.0990042356287263
f_g_mfi_index_div_pv_oi_momentum,-0.0013442622261666617
f_g_mfi_index_x_pv_oi_vol_ratio,0.04202895286620877
f_g_mfi_index_div_pv_oi_vol_ratio,-0.035501766249898724
f_g_mfi_index_x_pv_skew_ma5,-0.03415324801322447
f_g_mfi_index_div_pv_skew_ma5,-0.05768541622050999
f_g_mfi_index_x_pv_wad,-0.0070516682599599725
f_g_mfi_index_div_pv_wad,-0.02388843426001176
f_g_mfi_index_x_v_skew_ma5,-0.03222900781827587
f_g_mfi_index_div_v_skew_ma5,-0.06108217506713834
f_g_mfi_index_x_vol_wsr,-0.038370269514031795
f_g_mfi_index_div_vol_wsr,0.00608795255349212
f_g_mfi_index_x_wad,-0.0089825785821924
f_g_mfi_index_div_wad,0.08608311911533902
f_g_mfi_index_x_wad_valid,0.0667342466454106
f_g_mfi_index_div_wad_valid,0.07804460855920249
f_g_mfi_index_x_f_oi_hurst_20,0.015458927154776494
f_g_mfi_index_div_f_oi_hurst_20,-0.033237651035104
f_g_mfi_index_x_f_oi_hurst_20_ts_z,-0.04177207535665191
f_g_mfi_index_div_f_oi_hurst_20_ts_z,0.0041507529397761265
f_g_oi_chg_x_oi_chg,0.026041509941157642
f_g_oi_chg_div_oi_chg,0.021392630238974687
f_g_oi_chg_x_pv_oi_diff,0.012210567130820039
f_g_oi_chg_div_pv_oi_diff,-0.012511682964275189
f_g_oi_chg_x_pv_oi_efficiency,-0.0016097171003017334
f_g_oi_chg_div_pv_oi_efficiency,-0.023531005541083422
f_g_oi_chg_x_pv_oi_momentum,-0.010268156120189
f_g_oi_chg_div_pv_oi_momentum,-0.0205937623175791
f_g_oi_chg_x_pv_oi_vol_ratio,-0.016093883589896576
f_g_oi_chg_div_pv_oi_vol_ratio,-0.03675463447856624
f_g_oi_chg_x_pv_skew_ma5,-0.02604525673145627
f_g_oi_chg_div_pv_skew_ma5,-0.005024288978541212
f_g_oi_chg_x_pv_wad,0.07699079498970404
f_g_oi_chg_div_pv_wad,0.037496424777073746
f_g_oi_chg_x_v_skew_ma5,-0.023732976476076854
f_g_oi_chg_div_v_skew_ma5,-0.007713484746640677
f_g_oi_chg_x_vol_wsr,-0.05702759229897167
f_g_oi_chg_div_vol_wsr,-0.018905437409360994
f_g_oi_chg_x_wad,0.0853666655810106
f_g_oi_chg_div_wad,0.03742039514236579
f_g_oi_chg_x_wad_valid,0.05615997459470401
f_g_oi_chg_div_wad_valid,0.015253560285088117
f_g_oi_chg_x_f_oi_hurst_20,-0.012616264201002772
f_g_oi_chg_div_f_oi_hurst_20,0.003143377370964122
f_g_oi_chg_x_f_oi_hurst_20_ts_z,-0.005931912901375278
f_g_oi_chg_div_f_oi_hurst_20_ts_z,0.01558271039459809
f_g_pv_oi_diff_x_pv_oi_diff,0.026281476286513943
f_g_pv_oi_diff_div_pv_oi_diff,0.020007132517489114
f_g_pv_oi_diff_x_pv_oi_efficiency,-0.0016010001137915404
f_g_pv_oi_diff_div_pv_oi_efficiency,-0.023532944876754835
f_g_pv_oi_diff_x_pv_oi_momentum,-0.010281779344750887
f_g_pv_oi_diff_div_pv_oi_momentum,-0.020567307664690445
f_g_pv_oi_diff_x_pv_oi_vol_ratio,-0.0168873081933184
f_g_pv_oi_diff_div_pv_oi_vol_ratio,-0.036802112123660566
f_g_pv_oi_diff_x_pv_skew_ma5,-0.026071380788576046
f_g_pv_oi_diff_div_pv_skew_ma5,-0.00502334659412617
f_g_pv_oi_diff_x_pv_wad,0.07687076574374413
f_g_pv_oi_diff_div_pv_wad,0.03733418758754825
f_g_pv_oi_diff_x_v_skew_ma5,-0.02370853114968468
f_g_pv_oi_diff_div_v_skew_ma5,-0.008016937907739392
f_g_pv_oi_diff_x_vol_wsr,-0.05728881346865395
f_g_pv_oi_diff_div_vol_wsr,-0.019253667612170785
f_g_pv_oi_diff_x_wad,0.0855301916170485
f_g_pv_oi_diff_div_wad,0.03729983212751928
f_g_pv_oi_diff_x_wad_valid,0.05640522783160531
f_g_pv_oi_diff_div_wad_valid,0.01562997970080042
f_g_pv_oi_diff_x_f_oi_hurst_20,-0.012631927540820214
f_g_pv_oi_diff_div_f_oi_hurst_20,0.0031539911951586775
f_g_pv_oi_diff_x_f_oi_hurst_20_ts_z,-0.005949784686796851
f_g_pv_oi_diff_div_f_oi_hurst_20_ts_z,0.015537427675424542
f_g_pv_oi_efficiency_x_pv_oi_efficiency,0.04505102092056681
f_g_pv_oi_efficiency_div_pv_oi_efficiency,0.024407512470976625
f_g_pv_oi_efficiency_x_pv_oi_momentum,-0.004657650796028058
f_g_pv_oi_efficiency_div_pv_oi_momentum,0.0073969920541652285
f_g_pv_oi_efficiency_x_pv_oi_vol_ratio,-0.007745750242628997
f_g_pv_oi_efficiency_div_pv_oi_vol_ratio,-0.008829621130589138
f_g_pv_oi_efficiency_x_pv_skew_ma5,-0.02075324801213217
f_g_pv_oi_efficiency_div_pv_skew_ma5,-0.049063610114186
f_g_pv_oi_efficiency_x_pv_wad,0.005979681462657817
