factor,ICIR,positive_ic_ratio,is_timeseries,stability_score
f_g_mfi_index_rank_x_kc_squeeze_rank,0.0149521200698672,0.5166253101736973,False,0.007724643668849507
f_g_mfi_index_rank_x_vol_wsr_rank,0.03265000693475074,0.5096774193548387,False,0.01664097127642134
f_g_hurst_value_rank_x_pv_wad_rank,-0.15246431116070247,0.42923794712286156,False,0.06544346793212112
f_g_hurst_value_rank_x_ma10_rank,-0.1317262543178787,0.44738206324520474,False,0.05893196344029514
f_g_hurst_value_rank_x_hurst_strength_rank,0.006186543054314453,0.5049248315189218,False,0.0031237392093842807
f_g_hurst_value_rank_x_kc_breakout_rank,-0.07145931908619717,0.4618973561430793,False,0.03300687055769916
f_g_hurst_value_rank_x_pv_oi_efficiency_rank,-0.015420923599414948,0.49611197511664074,False,0.007650504865028567
f_g_hurst_value_rank_x_kc_squeeze_rank,-0.12666068587835583,0.45152928978745466,False,0.05719100953864589
f_g_hurst_value_rank_x_vol_wsr_rank,0.00865087686942011,0.5049248315189218,False,0.004368042545782887
f_g_pv_wad_rank_x_ma10_rank,-0.0846937499770729,0.46656760772659733,False,0.039515360316197456
f_g_pv_wad_rank_x_hurst_strength_rank,0.023876516337425838,0.5292897874546397,False,0.012637596257393354
f_g_pv_wad_rank_x_kc_breakout_rank,-0.03516244450974902,0.49037987173162306,False,0.01724295502846104
f_g_pv_wad_rank_x_pv_oi_efficiency_rank,0.01772699412692257,0.5155709342560554,False,0.009139522923569076
f_g_pv_wad_rank_x_kc_squeeze_rank,-0.11639163141233266,0.450419338924519,False,0.05242504167708916
f_g_pv_wad_rank_x_vol_wsr_rank,-0.018172521208488928,0.49556213017751477,False,0.009005613320774838
f_g_ma10_rank_x_hurst_strength_rank,0.021358057231039305,0.5080352514256091,False,0.010850645975333603
f_g_ma10_rank_x_kc_breakout_rank,-0.061765391382316,0.4730064388311045,False,0.029215427820758682
f_g_ma10_rank_x_pv_oi_efficiency_rank,-0.0044152081962869775,0.5066864784546805,False,0.0022371262926208905
f_g_ma10_rank_x_kc_squeeze_rank,-0.08621443055798117,0.46904408122833086,False,0.04043836836969201
f_g_ma10_rank_x_vol_wsr_rank,0.009168213248527337,0.48637939574046557,False,0.004459230019838457
f_g_hurst_strength_rank_x_kc_breakout_rank,0.09765566931764218,0.5401762571280456,False,0.052751273939338074
f_g_hurst_strength_rank_x_pv_oi_efficiency_rank,0.09422957664028535,0.5438050803525143,False,0.05124252249645378
f_g_hurst_strength_rank_x_kc_squeeze_rank,0.024762888126055784,0.5184033177812338,False,0.012837163362392838
f_g_hurst_strength_rank_x_vol_wsr_rank,0.1034614655022361,0.5406946604458268,False,0.055941061958959176
f_g_kc_breakout_rank_x_pv_oi_efficiency_rank,0.09166657762887931,0.5452298566485417,False,0.04997935498005629
f_g_kc_breakout_rank_x_kc_squeeze_rank,-0.021384848475091308,0.49404761904761907,False,0.010565133472812968
f_g_kc_breakout_rank_x_vol_wsr_rank,0.04669772494852549,0.5236686390532544,False,0.02445413407067755
f_g_pv_oi_efficiency_rank_x_kc_squeeze_rank,0.030135260194504764,0.5210084033613446,False,0.01570072379881761
f_g_pv_oi_efficiency_rank_x_vol_wsr_rank,0.06513658556570735,0.52743450321305,False,0.03435528264884318
f_g_kc_squeeze_rank_x_vol_wsr_rank,0.03761463248972566,0.5162721893491125,False,0.01941938866703292
f_g_wti_vol_norm,,,False,
f_g_wti_raw_x_volnorm,,,False,
f_g_t_is_pre_cny_vol_norm,,,False,
